Time(s), T_gas(K), p(Pa), N_gas(#/cm^3), H, H2, O, O2, OH, H2O, HO2, H2O2, AR, HE, H2(v1), H2(v2), H2(v3), O2(v1), O2(v2), O2(v3), O2(v4), O2(A1), O2(B1), O2*, O(1D), O(1S), O3, HE*, HE**, HE2, H^+, H2^+, H3^+, O^+, O2^+, O4^+, OH^+, H2O^+, H3O^+, HE^+, HE2^+, HEH^+, H^-, O^-, O2^-, O3^-, O4^-, OH^-, E, N2, Power_input(W/cm^3), Energy_deposited(mJ/cm^3)
0, 400, 101325, 1.83473e+19, 0, 3.0585e+18, 0, 1.52833e+18, 0, 0, 0, 0, 0, 1.37605e+19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 0, 0
1e-11, 400, 101325, 1.83473e+19, 2674.15, 3.0585e+18, 1422.73, 1.52833e+18, 1.76544, 0.0617364, 0.0104459, 4.1898e-19, 0, 1.37605e+19, 909.131, 83.6143, 7.91085, 238.198, 107.186, 58.9468, 33.5415, 139.183, 34.8357, 94.6001, 864.408, 94.4812, 4.33422e-05, 57.8983, 60.4258, 1.03461e-05, 1.09254e-05, 159.081, 5.18185, 0.176891, 119.502, 0.00428921, 0.00312989, 2.62853e-05, 1.2122e-07, 21.4638, 0.0626852, 1.41725, 0.22999, 5.77279, 0.444382, 5.49888e-05, 1.35238e-06, 0.00291575, 10300.4, 0, 0.00057437, 5.65952e-12
2e-11, 400, 101325, 1.83473e+19, 5444.79, 3.0585e+18, 2889.17, 1.52833e+18, 7.12052, 0.247493, 0.042209, 3.30495e-18, 0, 1.37605e+19, 1845.6, 169.743, 16.0596, 483.559, 217.596, 119.666, 68.0915, 282.571, 71.1358, 192.027, 1750.72, 191.803, 0.000175109, 117.198, 122.544, 4.15975e-05, 4.32087e-05, 308.673, 20.3985, 0.698624, 244.717, 0.0174282, 0.0240457, 0.000377999, 3.1079e-06, 43.2019, 0.250274, 5.47359, 0.462431, 11.5848, 0.908456, 0.000218256, 5.48607e-06, 0.0117019, 10610.5, 0, 0.000591658, 1.14892e-11
3e-11, 400, 101325, 1.83473e+19, 8313.86, 3.0585e+18, 4400.7, 1.52833e+18, 16.1566, 0.558164, 0.095946, 1.12006e-17, 0, 1.37605e+19, 2810.29, 258.467, 24.4538, 736.312, 331.332, 182.215, 103.682, 430.296, 108.944, 292.37, 2659.67, 292.055, 0.000398004, 177.946, 186.41, 9.40867e-05, 9.6134e-05, 449.786, 45.1874, 1.55224, 375.659, 0.0398296, 0.0792953, 0.00184512, 2.22982e-05, 65.2303, 0.562141, 11.8943, 0.697494, 17.4407, 1.39267, 0.000487321, 1.25192e-05, 0.0264208, 10930.4, 0, 0.000609499, 1.74946e-11
4e-11, 400, 101325, 1.83473e+19, 11283.4, 3.0585e+18, 5958.76, 1.52833e+18, 28.9684, 0.99476, 0.17233, 2.67369e-17, 0, 1.37605e+19, 3804.09, 349.868, 33.1014, 996.694, 448.5, 246.652, 140.347, 582.498, 148.306, 395.723, 3591.99, 395.332, 0.000714819, 240.191, 252.079, 0.000168162, 0.000169037, 583.343, 79.1366, 2.72574, 512.355, 0.071908, 0.184141, 0.00568137, 9.11066e-05, 87.5652, 0.997803, 20.4343, 0.935358, 23.3451, 1.8975, 0.000859875, 2.25727e-05, 0.0471395, 11260.6, 0, 0.000627909, 2.36812e-11
5e-11, 400, 101325, 1.83473e+19, 14355.8, 3.0585e+18, 7564.8, 1.52833e+18, 45.6539, 1.5584, 0.272053, 5.26421e-17, 0, 1.37605e+19, 4827.93, 444.032, 42.0104, 1264.95, 569.21, 313.036, 178.119, 739.319, 189.269, 502.182, 4548.47, 501.731, 0.00112844, 303.985, 319.609, 0.000264185, 0.0002613, 710.19, 121.881, 4.20798, 654.848, 0.114081, 0.352658, 0.0135545, 0.00027161, 110.223, 1.55691, 30.8745, 1.1762, 29.3029, 2.42342, 0.00133377, 3.57703e-05, 0.0739304, 11601.3, 0, 0.000646907, 3.00548e-11
6e-11, 400, 101325, 1.83473e+19, 17533.3, 3.0585e+18, 9220.37, 1.52833e+18, 66.3144, 2.25032, 0.395822, 9.17498e-17, 0, 1.37605e+19, 5882.77, 541.048, 51.1891, 1541.32, 693.576, 381.431, 217.036, 900.906, 231.881, 611.846, 5529.9, 611.349, 0.00164183, 369.378, 389.06, 0.000382536, 0.000372354, 831.102, 173.096, 5.98867, 803.196, 0.166768, 0.597827, 0.0275006, 0.000662202, 133.221, 2.23925, 43.0203, 1.42021, 35.3188, 2.97094, 0.001907, 5.22385e-05, 0.106871, 11952.8, 0, 0.00066651, 3.66214e-11
7e-11, 400, 101325, 1.83473e+19, 20818.6, 3.0585e+18, 10927, 1.52833e+18, 91.0547, 3.07188, 0.544365, 1.47009e-16, 0, 1.37605e+19, 6969.61, 641.005, 60.6462, 1826.08, 821.713, 451.899, 257.132, 1067.41, 276.193, 724.818, 6537.1, 724.292, 0.00225807, 436.424, 460.495, 0.000523607, 0.00050167, 946.788, 232.5, 8.05834, 957.47, 0.230396, 0.931615, 0.0498823, 0.00140439, 156.577, 3.04473, 56.6984, 1.66758, 41.3979, 3.54059, 0.00257774, 7.21069e-05, 0.146043, 12315.6, 0, 0.000686738, 4.33871e-11
8e-11, 400, 101325, 1.83473e+19, 24214.4, 3.0585e+18, 12686.4, 1.52833e+18, 119.983, 4.02457, 0.71843, 2.21492e-16, 0, 1.37605e+19, 8089.45, 743.999, 70.3904, 2119.49, 953.742, 524.508, 298.445, 1238.99, 322.254, 841.202, 7570.92, 840.663, 0.00298032, 505.178, 533.976, 0.000687809, 0.000648765, 1057.9, 299.843, 10.4083, 1117.75, 0.305395, 1.36506, 0.0833506, 0.0026888, 180.309, 3.9734, 71.7555, 1.91849, 47.545, 4.13292, 0.00334429, 9.55082e-05, 0.191535, 12689.9, 0, 0.00070761, 5.03584e-11
9e-11, 400, 101325, 1.83473e+19, 27723.4, 3.0585e+18, 14500.1, 1.52833e+18, 153.211, 5.10997, 0.918785, 3.1841e-16, 0, 1.37605e+19, 9243.35, 850.124, 80.4311, 2421.82, 1089.79, 599.325, 341.016, 1415.81, 370.12, 961.107, 8632.23, 960.573, 0.00381184, 575.698, 609.569, 0.000875568, 0.000813196, 1165.04, 374.912, 13.0305, 1284.14, 0.392202, 1.90834, 0.13081, 0.0047605, 204.434, 5.02546, 88.0557, 2.17314, 53.7653, 4.74849, 0.0042051, 0.000122578, 0.243438, 13076.1, 0, 0.000729147, 5.75416e-11
1e-10, 400, 101325, 1.83473e+19, 31348.8, 3.0585e+18, 16369.9, 1.52833e+18, 190.855, 6.32985, 1.14622, 4.4112e-16, 0, 1.37605e+19, 10432.4, 959.482, 90.7775, 2733.36, 1229.97, 676.421, 384.882, 1598.03, 419.844, 1084.65, 9721.94, 1084.13, 0.00475601, 648.042, 687.343, 0.00108733, 0.000994559, 1268.75, 457.523, 15.9178, 1456.74, 0.491262, 2.57084, 0.195387, 0.00792361, 228.972, 6.20119, 105.48, 2.43174, 60.064, 5.38788, 0.00515878, 0.000153456, 0.301853, 13474.7, 0, 0.000751369, 6.49436e-11
1.1e-10, 400, 101325, 1.83473e+19, 35093.7, 3.0585e+18, 18297.6, 1.52833e+18, 233.033, 7.68607, 1.40155, 5.93138e-16, 0, 1.37605e+19, 11657.7, 1072.18, 101.439, 3054.4, 1374.44, 755.868, 430.086, 1785.82, 471.483, 1211.93, 10841, 1211.46, 0.0058163, 722.271, 767.366, 0.00132355, 0.00119249, 1369.54, 547.523, 19.0635, 1635.66, 0.603029, 3.36125, 0.280402, 0.0125454, 253.941, 7.50106, 123.922, 2.69449, 66.4463, 6.05171, 0.00620406, 0.000188285, 0.366882, 13885.8, 0, 0.000774297, 7.25714e-11
1.2e-10, 400, 101325, 1.83473e+19, 38961.4, 3.0585e+18, 20284.9, 1.52833e+18, 279.87, 9.18064, 1.68562, 7.78155e-16, 0, 1.37605e+19, 12920.4, 1188.31, 112.427, 3385.24, 1523.31, 837.741, 476.67, 1979.37, 525.096, 1343.09, 11990.3, 1342.68, 0.0069963, 798.446, 849.711, 0.00158471, 0.00140666, 1467.88, 644.782, 22.4618, 1821.05, 0.727963, 4.28758, 0.38934, 0.0190597, 279.362, 8.92563, 143.292, 2.96161, 72.9177, 6.74062, 0.00733982, 0.000227211, 0.438635, 14310.1, 0, 0.000797955, 8.04321e-11
1.3e-10, 400, 101325, 1.83473e+19, 42955.3, 3.0585e+18, 22333.9, 1.52833e+18, 331.493, 10.8157, 1.99927, 1.00005e-15, 0, 1.37605e+19, 14221.7, 1307.99, 123.75, 3726.2, 1676.74, 922.117, 524.678, 2178.85, 580.742, 1478.24, 13170.8, 1477.9, 0.00829971, 876.632, 934.452, 0.00187131, 0.00163677, 1564.2, 749.2, 26.1073, 2013.04, 0.866536, 5.35724, 0.525832, 0.0279703, 305.256, 10.4756, 163.509, 3.2333, 79.4835, 7.45526, 0.00856508, 0.000270384, 0.517227, 14747.9, 0, 0.000822365, 8.85331e-11
1.4e-10, 400, 101325, 1.83473e+19, 47079.1, 3.0585e+18, 24446.4, 1.52833e+18, 388.033, 12.5936, 2.34342, 1.2629e-15, 0, 1.37605e+19, 15562.9, 1431.34, 135.42, 4077.6, 1834.86, 1009.08, 574.155, 2384.46, 638.484, 1617.5, 14383.7, 1617.26, 0.00973034, 956.896, 1021.67, 0.00218387, 0.00188257, 1658.9, 860.696, 29.9953, 2211.77, 1.01923, 6.57711, 0.693631, 0.0398529, 331.641, 12.1519, 184.504, 3.50979, 86.1494, 8.19631, 0.009879, 0.000317958, 0.602779, 15199.5, 0, 0.00084755, 9.6882e-11
1.5e-10, 400, 101325, 1.83473e+19, 51336.4, 3.0585e+18, 26624.4, 1.52833e+18, 449.627, 14.5167, 2.71896, 1.57101e-15, 0, 1.37605e+19, 16945.1, 1558.47, 147.448, 4439.76, 1997.82, 1098.7, 625.148, 2596.38, 698.387, 1761.02, 15629.9, 1760.9, 0.0112921, 1039.31, 1111.43, 0.00252293, 0.00214383, 1752.35, 979.212, 34.1218, 2417.42, 1.18654, 7.95356, 0.896591, 0.055358, 358.541, 13.9553, 206.219, 3.79131, 92.9211, 8.96447, 0.0112808, 0.000370091, 0.695419, 15665.5, 0, 0.000873535, 1.05487e-10
1.6e-10, 400, 101325, 1.83473e+19, 55731.2, 3.0585e+18, 28870.1, 1.52833e+18, 516.414, 16.5877, 3.12685, 1.92893e-15, 0, 1.37605e+19, 18369.8, 1689.5, 159.844, 4813.03, 2165.79, 1191.07, 677.705, 2814.82, 760.515, 1908.92, 16910.5, 1908.93, 0.0129892, 1123.93, 1203.83, 0.00288903, 0.00242036, 1844.9, 1104.71, 38.4832, 2630.14, 1.36897, 9.49253, 1.13866, 0.0752122, 385.977, 15.8871, 228.603, 4.07809, 99.8044, 9.76048, 0.01277, 0.000426946, 0.79528, 16146.3, 0, 0.000900346, 1.14356e-10
1.7e-10, 400, 101325, 1.83473e+19, 60267.6, 3.0585e+18, 31185.5, 1.52833e+18, 588.54, 18.8093, 3.56806, 2.34143e-15, 0, 1.37605e+19, 19838.2, 1824.55, 172.622, 5197.77, 2338.91, 1286.28, 731.876, 3039.99, 824.938, 2061.34, 18226.6, 2061.52, 0.0148256, 1210.85, 1298.94, 0.00328276, 0.002712, 1936.86, 1237.18, 43.0766, 2850.12, 1.56703, 11.1996, 1.42384, 0.10022, 413.972, 17.9485, 251.614, 4.37036, 106.805, 10.5851, 0.0143461, 0.000488689, 0.902501, 16642.4, 0, 0.000928007, 1.23497e-10
1.8e-10, 400, 101325, 1.83473e+19, 64949.7, 3.0585e+18, 33572.8, 1.52833e+18, 666.154, 21.1844, 4.0436, 2.8136e-15, 0, 1.37605e+19, 21351.7, 1963.75, 185.791, 5594.33, 2517.36, 1384.41, 787.711, 3272.09, 891.725, 2218.43, 19579.5, 2218.79, 0.0168058, 1300.13, 1396.86, 0.00370472, 0.00301862, 2028.54, 1376.61, 47.8993, 3077.56, 1.78126, 13.0798, 1.75621, 0.131266, 442.548, 20.1407, 275.217, 4.66838, 113.93, 11.4391, 0.0160088, 0.000555491, 1.01723, 17154.2, 0, 0.000956545, 1.32919e-10
1.9e-10, 400, 101325, 1.83473e+19, 69781.9, 3.0585e+18, 36034.4, 1.52833e+18, 749.411, 23.7161, 4.55449, 3.35081e-15, 0, 1.37605e+19, 22911.8, 2107.23, 199.367, 6003.09, 2701.29, 1485.57, 845.265, 3511.35, 960.95, 2380.33, 20970.2, 2380.9, 0.0189342, 1391.85, 1497.68, 0.00415553, 0.00334011, 2120.2, 1523.02, 52.9496, 3312.64, 2.01221, 15.1382, 2.13988, 0.169313, 471.729, 22.4655, 299.384, 4.97239, 121.184, 12.3233, 0.0177578, 0.000627528, 1.13962, 17682.2, 0, 0.000985989, 1.42631e-10
2e-10, 400, 101325, 1.83473e+19, 74768.7, 3.0585e+18, 38572.6, 1.52833e+18, 838.47, 26.4076, 5.1018, 3.95875e-15, 0, 1.37605e+19, 24520, 2255.14, 213.36, 6424.44, 2890.89, 1589.84, 904.59, 3758, 1032.69, 2547.21, 22400, 2548, 0.0212154, 1486.09, 1601.47, 0.00463584, 0.00367641, 2212.13, 1676.45, 58.2258, 3555.59, 2.26042, 17.3792, 2.57902, 0.215406, 501.54, 24.9243, 324.093, 5.28266, 128.575, 13.2385, 0.0195931, 0.00070498, 1.26982, 18227, 0, 0.00101637, 1.52642e-10
2.1e-10, 400, 101325, 1.83473e+19, 79914.7, 3.0585e+18, 41189.8, 1.52833e+18, 933.495, 29.2623, 5.68665, 4.64346e-15, 0, 1.37605e+19, 26177.7, 2407.6, 227.784, 6858.78, 3086.34, 1697.32, 965.744, 4012.27, 1107.01, 2719.2, 23870.2, 2720.25, 0.0236541, 1582.93, 1708.35, 0.00514631, 0.00402747, 2304.55, 1836.94, 63.7271, 3806.61, 2.52649, 19.8073, 3.07779, 0.270672, 532.006, 27.5191, 349.327, 5.59943, 136.108, 14.1857, 0.0215147, 0.000788033, 1.40801, 18789, 0, 0.00104771, 1.62961e-10
2.2e-10, 400, 101325, 1.83473e+19, 85225, 3.0585e+18, 43888.4, 1.52833e+18, 1034.66, 32.2838, 6.31016, 5.41134e-15, 0, 1.37605e+19, 27886.6, 2564.76, 242.654, 7306.51, 3287.81, 1808.12, 1028.78, 4274.4, 1184.01, 2896.49, 25382, 2897.81, 0.0262553, 1682.47, 1818.41, 0.00568764, 0.00439328, 2397.72, 2004.56, 69.4529, 4065.93, 2.811, 22.4266, 3.6404, 0.336319, 563.153, 30.2516, 375.075, 5.92299, 143.791, 15.1656, 0.0235228, 0.000876878, 1.55436, 19368.9, 0, 0.00108004, 1.73599e-10
2.3e-10, 400, 101325, 1.83473e+19, 90704.4, 3.0585e+18, 46671.2, 1.52833e+18, 1142.13, 35.4758, 6.9735, 6.26922e-15, 0, 1.37605e+19, 29648.2, 2726.78, 257.982, 7768.07, 3495.5, 1922.34, 1093.77, 4544.63, 1263.76, 3079.23, 26936.8, 3080.85, 0.029024, 1784.78, 1931.75, 0.00626054, 0.00477385, 2491.83, 2179.39, 75.4032, 4333.8, 3.11455, 25.241, 4.27107, 0.413638, 595.006, 33.124, 401.328, 6.25362, 151.63, 16.1793, 0.0256177, 0.00097171, 1.70906, 19967.1, 0, 0.0011134, 1.84565e-10
2.4e-10, 400, 101325, 1.83473e+19, 96358.1, 3.0585e+18, 49540.6, 1.52833e+18, 1256.1, 38.8422, 7.67789, 7.22433e-15, 0, 1.37605e+19, 31464.2, 2893.8, 273.784, 8243.9, 3709.61, 2040.09, 1160.76, 4823.24, 1346.34, 3267.59, 28536.1, 3269.55, 0.0319655, 1889.95, 2048.47, 0.00686576, 0.00516922, 2587.12, 2361.51, 81.5782, 4610.47, 3.43778, 28.2543, 4.974, 0.504003, 627.594, 36.1385, 428.086, 6.59159, 159.632, 17.2276, 0.0277999, 0.00107273, 1.87227, 20584.3, 0, 0.00114782, 1.95871e-10
2.5e-10, 400, 101325, 1.83473e+19, 102192, 3.0585e+18, 52499.5, 1.52833e+18, 1376.75, 42.3872, 8.42457, 8.28439e-15, 0, 1.37605e+19, 33336.4, 3065.99, 290.075, 8734.43, 3930.34, 2161.48, 1229.83, 5110.48, 1431.85, 3461.77, 30181.1, 3464.08, 0.035085, 1998.08, 2168.68, 0.00750406, 0.00557944, 2683.77, 2551.04, 87.9789, 4896.18, 3.78132, 31.4703, 5.75343, 0.608869, 660.945, 39.2974, 455.346, 6.93721, 167.804, 18.3117, 0.0300697, 0.00118015, 2.04422, 21221, 0, 0.00118332, 2.07525e-10
2.6e-10, 400, 101325, 1.83473e+19, 108210, 3.0585e+18, 55550.7, 1.52833e+18, 1504.26, 46.1151, 9.21484, 9.45761e-15, 0, 1.37605e+19, 35266.5, 3243.51, 306.87, 9240.15, 4157.91, 2286.63, 1301.03, 5406.62, 1520.37, 3661.93, 31873.5, 3664.64, 0.0383882, 2109.27, 2292.5, 0.00817626, 0.00600462, 2781.99, 2748.08, 94.6065, 5191.21, 4.14585, 34.8926, 6.61358, 0.729775, 695.086, 42.6033, 483.115, 7.29077, 176.154, 19.4325, 0.032428, 0.00129418, 2.22509, 21877.9, 0, 0.00121995, 2.19541e-10
2.7e-10, 400, 101325, 1.83473e+19, 114420, 3.0585e+18, 58697.1, 1.52833e+18, 1638.86, 50.0303, 10.05, 1.07527e-14, 0, 1.37605e+19, 37256.4, 3426.52, 324.184, 9761.52, 4392.51, 2415.65, 1374.44, 5711.95, 1612, 3868.28, 33614.7, 3871.4, 0.0418807, 2223.61, 2420.03, 0.00888316, 0.00644487, 2881.94, 2952.78, 101.463, 5495.83, 4.53203, 38.5246, 7.55867, 0.868343, 730.048, 46.0587, 511.399, 7.65258, 184.689, 20.591, 0.0348755, 0.00141503, 2.4151, 22555.6, 0, 0.00125774, 2.31928e-10
2.8e-10, 400, 101325, 1.83473e+19, 120827, 3.0585e+18, 61941.8, 1.52833e+18, 1780.72, 54.1374, 10.9315, 1.21791e-14, 0, 1.37605e+19, 39308, 3615.2, 342.036, 10299.1, 4634.39, 2548.67, 1450.12, 6026.76, 1706.83, 4081, 35406.3, 4084.56, 0.0455685, 2341.21, 2551.4, 0.00962562, 0.00690033, 2983.82, 3165.26, 108.549, 5810.34, 4.94059, 42.3699, 8.59292, 1.02628, 765.862, 49.6666, 540.208, 8.02297, 193.417, 21.7885, 0.0374131, 0.00154294, 2.61447, 23254.8, 0, 0.00129672, 2.447e-10
2.9e-10, 400, 101325, 1.83473e+19, 127436, 3.0585e+18, 65287.7, 1.52833e+18, 1930.08, 58.4414, 11.8606, 1.37466e-14, 0, 1.37605e+19, 41423.2, 3809.74, 360.441, 10853.3, 4883.77, 2685.81, 1528.15, 6351.34, 1804.96, 4300.3, 37249.8, 4304.33, 0.0494577, 2462.16, 2686.72, 0.0104045, 0.00737117, 3087.8, 3385.69, 115.869, 6135.03, 5.37224, 46.4319, 9.72055, 1.20536, 802.558, 53.4298, 569.554, 8.40225, 202.346, 23.0259, 0.0400418, 0.00167814, 2.82343, 23976, 0, 0.00133694, 2.57867e-10
3e-10, 400, 101325, 1.83473e+19, 134255, 3.0585e+18, 68738.1, 1.52833e+18, 2087.14, 62.9473, 12.8389, 1.54658e-14, 0, 1.37605e+19, 43604, 4010.31, 379.416, 11424.6, 5140.88, 2827.21, 1608.6, 6686.01, 1906.5, 4526.38, 39147.1, 4530.93, 0.0535545, 2586.59, 2826.13, 0.0112208, 0.00785756, 3194.04, 3614.23, 123.424, 6470.21, 5.82772, 50.7141, 10.9458, 1.40747, 840.169, 57.3514, 599.454, 8.79077, 211.483, 24.3045, 0.0427627, 0.00182086, 3.04221, 24720.1, 0, 0.00137843, 2.71443e-10
3.1e-10, 400, 101325, 1.83473e+19, 141290, 3.0585e+18, 72296.3, 1.52833e+18, 2252.14, 67.6605, 13.8679, 1.73481e-14, 0, 1.37605e+19, 45852.4, 4217.1, 398.981, 12013.8, 5405.98, 2973, 1691.54, 7031.09, 2011.55, 4759.46, 41099.7, 4764.55, 0.0578655, 2714.6, 2969.75, 0.0120754, 0.00835974, 3302.7, 3851.05, 131.219, 6816.2, 6.30781, 55.2201, 12.2728, 1.63454, 878.728, 61.4349, 629.924, 9.18887, 220.838, 25.6256, 0.0455772, 0.00197136, 3.27107, 25487.7, 0, 0.00142124, 2.8544e-10
3.2e-10, 400, 101325, 1.83473e+19, 148548, 3.0585e+18, 75965.8, 1.52833e+18, 2425.3, 72.5863, 14.9491, 1.94056e-14, 0, 1.37605e+19, 48170.8, 4430.32, 419.154, 12621.2, 5679.31, 3123.31, 1777.06, 7386.9, 2120.22, 4999.77, 43109.5, 5005.43, 0.0623972, 2846.3, 3117.71, 0.0129693, 0.00887793, 3413.95, 4096.35, 139.257, 7173.33, 6.81329, 59.9533, 13.7057, 1.88863, 918.269, 65.6834, 660.984, 9.59691, 230.419, 26.9903, 0.0484865, 0.00212987, 3.51026, 26279.6, 0, 0.0014654, 2.99872e-10
3.3e-10, 400, 101325, 1.83473e+19, 156035, 3.0585e+18, 79750, 1.52833e+18, 2606.87, 77.7304, 16.0841, 2.16511e-14, 0, 1.37605e+19, 50561.2, 4650.17, 439.953, 13247.5, 5961.13, 3278.3, 1865.24, 7753.79, 2232.62, 5247.52, 45178.3, 5253.8, 0.0671567, 2981.82, 3270.16, 0.0139034, 0.00941241, 3527.95, 4350.32, 147.541, 7541.95, 7.345, 64.9172, 15.2489, 2.17183, 958.828, 70.1008, 692.654, 10.0153, 240.234, 28.3999, 0.0514923, 0.00229668, 3.76005, 27096.6, 0, 0.00151095, 3.14753e-10
3.4e-10, 400, 101325, 1.83473e+19, 163759, 3.0585e+18, 83652.5, 1.52833e+18, 2797.09, 83.0989, 17.2745, 2.40984e-14, 0, 1.37605e+19, 53025.9, 4876.85, 461.4, 13893.3, 6251.72, 3438.11, 1956.16, 8132.1, 2348.87, 5502.97, 47308, 5509.88, 0.072151, 3121.27, 3427.24, 0.014879, 0.00996344, 3644.86, 4613.17, 156.076, 7922.41, 7.90376, 70.1157, 16.9065, 2.48636, 1000.44, 74.6907, 724.96, 10.4443, 250.292, 29.8559, 0.0545961, 0.00247204, 4.0207, 27939.4, 0, 0.00155794, 3.30096e-10
3.5e-10, 400, 101325, 1.83473e+19, 171727, 3.0585e+18, 87677, 1.52833e+18, 2996.22, 88.6978, 18.5222, 2.67622e-14, 0, 1.37605e+19, 55567.3, 5110.58, 483.513, 14559.2, 6551.35, 3602.89, 2049.91, 8522.2, 2469.09, 5766.34, 49500.5, 5773.94, 0.0773874, 3264.79, 3589.08, 0.0158969, 0.0105314, 3764.82, 4885.12, 164.868, 8315.07, 8.49044, 75.5524, 18.6826, 2.83448, 1043.14, 79.4571, 757.925, 10.8844, 260.603, 31.3595, 0.0577997, 0.00265623, 4.29251, 28808.8, 0, 0.00160642, 3.45917e-10
3.6e-10, 400, 101325, 1.83473e+19, 179947, 3.0585e+18, 91827.6, 1.52833e+18, 3204.52, 94.5336, 19.8288, 2.96583e-14, 0, 1.37605e+19, 58187.7, 5351.59, 506.315, 15245.8, 6860.3, 3772.8, 2146.58, 8924.45, 2593.39, 6037.89, 51757.8, 6046.21, 0.0828736, 3412.51, 3755.85, 0.0169585, 0.0111165, 3887.99, 5166.41, 173.921, 8720.32, 9.10595, 81.2312, 20.5816, 3.21856, 1086.98, 84.4042, 791.575, 11.3359, 271.177, 32.9122, 0.061105, 0.00284953, 4.57577, 29705.7, 0, 0.00165644, 3.6223e-10
3.7e-10, 400, 101325, 1.83473e+19, 188427, 3.0585e+18, 96108, 1.52833e+18, 3422.28, 100.613, 21.1961, 3.28033e-14, 0, 1.37605e+19, 60889.8, 5600.1, 529.827, 15953.7, 7178.88, 3947.99, 2246.26, 9339.25, 2721.91, 6317.88, 54082.1, 6326.96, 0.0886174, 3564.55, 3927.7, 0.0180647, 0.0117192, 4014.53, 5457.28, 183.24, 9138.54, 9.7512, 87.1561, 22.6075, 3.64106, 1131.98, 89.5361, 825.94, 11.7993, 282.022, 34.5154, 0.064514, 0.00305224, 4.87078, 30630.9, 0, 0.00170803, 3.79051e-10
3.8e-10, 400, 101325, 1.83473e+19, 197174, 3.0585e+18, 100522, 1.52833e+18, 3649.75, 106.942, 22.6261, 3.62153e-14, 0, 1.37605e+19, 63676.1, 5856.36, 554.071, 16683.8, 7507.38, 4128.65, 2349.04, 9766.99, 2854.78, 6606.57, 56475.4, 6616.45, 0.0946267, 3721.06, 4104.8, 0.0192168, 0.0123398, 4144.58, 5757.98, 192.831, 9570.14, 10.4271, 93.3311, 24.7647, 4.10448, 1178.19, 94.8575, 861.048, 12.2751, 293.15, 36.1708, 0.0680288, 0.00326466, 5.17787, 31585.4, 0, 0.00176125, 3.96396e-10
3.9e-10, 400, 101325, 1.83473e+19, 206198, 3.0585e+18, 105075, 1.52833e+18, 3887.25, 113.529, 24.1207, 3.99135e-14, 0, 1.37605e+19, 66549.2, 6120.6, 579.071, 17436.6, 7846.11, 4314.94, 2455.02, 10208.1, 2992.14, 6904.24, 58939.9, 6914.97, 0.10091, 3882.18, 4287.3, 0.0204161, 0.0129788, 4278.32, 6068.78, 202.702, 10015.5, 11.1348, 99.7606, 27.0574, 4.61146, 1225.65, 100.373, 896.931, 12.7635, 304.57, 37.8798, 0.0716517, 0.0034871, 5.49736, 32570.1, 0, 0.00181616, 4.14281e-10
4e-10, 400, 101325, 1.83473e+19, 215507, 3.0585e+18, 109770, 1.52833e+18, 4135.05, 120.381, 25.6819, 4.39183e-14, 0, 1.37605e+19, 69511.9, 6393.08, 604.85, 18212.8, 8195.41, 4507.03, 2564.31, 10662.9, 3134.11, 7211.18, 61478, 7222.79, 0.107476, 4048.07, 4475.37, 0.0216638, 0.0136366, 4415.88, 6389.95, 212.858, 10475.2, 11.8751, 106.449, 29.4898, 5.16467, 1274.41, 106.087, 933.621, 13.2651, 316.293, 39.6442, 0.0753851, 0.00371988, 5.82958, 33585.8, 0, 0.0018728, 4.32725e-10
4.1e-10, 400, 101325, 1.83473e+19, 225110, 3.0585e+18, 114613, 1.52833e+18, 4393.49, 127.505, 27.3116, 4.82516e-14, 0, 1.37605e+19, 72567, 6674.07, 631.434, 19013.3, 8555.61, 4705.12, 2677.01, 11132, 3280.86, 7527.67, 64091.9, 7540.21, 0.114333, 4218.86, 4669.2, 0.0229613, 0.0143136, 4557.42, 6721.79, 223.307, 10949.5, 12.6491, 113.401, 32.0663, 5.76689, 1324.5, 112.006, 971.152, 13.7804, 328.33, 41.4655, 0.0792314, 0.00396333, 6.17491, 34633.7, 0, 0.00193123, 4.51743e-10
4.2e-10, 400, 101325, 1.83473e+19, 235016, 3.0585e+18, 119607, 1.52833e+18, 4662.86, 134.909, 29.0122, 5.2937e-14, 0, 1.37605e+19, 75717.5, 6963.82, 658.847, 19838.8, 8927.05, 4909.39, 2793.23, 11615.7, 3432.52, 7854.02, 66784.1, 7867.54, 0.12149, 4394.72, 4868.97, 0.0243099, 0.0150103, 4703.11, 7064.6, 234.055, 11438.9, 13.4579, 120.621, 34.7911, 6.421, 1375.98, 118.133, 1009.56, 14.3098, 340.692, 43.3454, 0.0831935, 0.00421779, 6.53369, 35714.6, 0, 0.00199151, 4.71356e-10
