Time(s), T_gas(K), N_gas(#/cm^3), E, H2, O2, H, O, OH, O2(A1)
1e-11, 400, 1.83473e+19, 10300.4, 3.0585e+18, 1.52833e+18, 2674.15, 1422.73, 1.76544, 139.183
2e-11, 400, 1.83473e+19, 10610.5, 3.0585e+18, 1.52833e+18, 5444.79, 2889.17, 7.12052, 282.571
3e-11, 400, 1.83473e+19, 10930.4, 3.0585e+18, 1.52833e+18, 8313.86, 4400.7, 16.1566, 430.296
4e-11, 400, 1.83473e+19, 11260.6, 3.0585e+18, 1.52833e+18, 11283.4, 5958.76, 28.9684, 582.498
5e-11, 400, 1.83473e+19, 11601.3, 3.0585e+18, 1.52833e+18, 14355.8, 7564.8, 45.6539, 739.319
6e-11, 400, 1.83473e+19, 11952.8, 3.0585e+18, 1.52833e+18, 17533.3, 9220.37, 66.3144, 900.906
7e-11, 400, 1.83473e+19, 12315.6, 3.0585e+18, 1.52833e+18, 20818.6, 10927, 91.0547, 1067.41
8e-11, 400, 1.83473e+19, 12689.9, 3.0585e+18, 1.52833e+18, 24214.4, 12686.4, 119.983, 1238.99
9e-11, 400, 1.83473e+19, 13076.1, 3.0585e+18, 1.52833e+18, 27723.4, 14500.1, 153.211, 1415.81
1e-10, 400, 1.83473e+19, 13474.7, 3.0585e+18, 1.52833e+18, 31348.8, 16369.9, 190.855, 1598.03
1.1e-10, 400, 1.83473e+19, 13885.8, 3.0585e+18, 1.52833e+18, 35093.7, 18297.6, 233.033, 1785.82
1.2e-10, 400, 1.83473e+19, 14310.1, 3.0585e+18, 1.52833e+18, 38961.4, 20284.9, 279.87, 1979.37
1.3e-10, 400, 1.83473e+19, 14747.9, 3.0585e+18, 1.52833e+18, 42955.3, 22333.9, 331.493, 2178.85
1.4e-10, 400, 1.83473e+19, 15199.5, 3.0585e+18, 1.52833e+18, 47079.1, 24446.4, 388.033, 2384.46
1.5e-10, 400, 1.83473e+19, 15665.5, 3.0585e+18, 1.52833e+18, 51336.4, 26624.4, 449.627, 2596.38
1.6e-10, 400, 1.83473e+19, 16146.3, 3.0585e+18, 1.52833e+18, 55731.2, 28870.1, 516.414, 2814.82
1.7e-10, 400, 1.83473e+19, 16642.4, 3.0585e+18, 1.52833e+18, 60267.6, 31185.5, 588.54, 3039.99
1.8e-10, 400, 1.83473e+19, 17154.2, 3.0585e+18, 1.52833e+18, 64949.7, 33572.8, 666.154, 3272.09
1.9e-10, 400, 1.83473e+19, 17682.2, 3.0585e+18, 1.52833e+18, 69781.9, 36034.4, 749.411, 3511.35
2e-10, 400, 1.83473e+19, 18227, 3.0585e+18, 1.52833e+18, 74768.7, 38572.6, 838.47, 3758
2.1e-10, 400, 1.83473e+19, 18789, 3.0585e+18, 1.52833e+18, 79914.7, 41189.8, 933.495, 4012.27
2.2e-10, 400, 1.83473e+19, 19368.9, 3.0585e+18, 1.52833e+18, 85225, 43888.4, 1034.66, 4274.4
2.3e-10, 400, 1.83473e+19, 19967.1, 3.0585e+18, 1.52833e+18, 90704.4, 46671.2, 1142.13, 4544.63
2.4e-10, 400, 1.83473e+19, 20584.3, 3.0585e+18, 1.52833e+18, 96358.1, 49540.6, 1256.1, 4823.24
2.5e-10, 400, 1.83473e+19, 21221, 3.0585e+18, 1.52833e+18, 102192, 52499.5, 1376.75, 5110.48
2.6e-10, 400, 1.83473e+19, 21877.9, 3.0585e+18, 1.52833e+18, 108210, 55550.7, 1504.26, 5406.62
2.7e-10, 400, 1.83473e+19, 22555.6, 3.0585e+18, 1.52833e+18, 114420, 58697.1, 1638.86, 5711.95
2.8e-10, 400, 1.83473e+19, 23254.8, 3.0585e+18, 1.52833e+18, 120827, 61941.8, 1780.72, 6026.76
2.9e-10, 400, 1.83473e+19, 23976, 3.0585e+18, 1.52833e+18, 127436, 65287.7, 1930.08, 6351.34
3e-10, 400, 1.83473e+19, 24720.1, 3.0585e+18, 1.52833e+18, 134255, 68738.1, 2087.14, 6686.01
3.1e-10, 400, 1.83473e+19, 25487.7, 3.0585e+18, 1.52833e+18, 141290, 72296.3, 2252.14, 7031.09
3.2e-10, 400, 1.83473e+19, 26279.6, 3.0585e+18, 1.52833e+18, 148548, 75965.8, 2425.3, 7386.9
3.3e-10, 400, 1.83473e+19, 27096.6, 3.0585e+18, 1.52833e+18, 156035, 79750, 2606.87, 7753.79
3.4e-10, 400, 1.83473e+19, 27939.4, 3.0585e+18, 1.52833e+18, 163759, 83652.5, 2797.09, 8132.1
3.5e-10, 400, 1.83473e+19, 28808.8, 3.0585e+18, 1.52833e+18, 171727, 87677, 2996.22, 8522.2
3.6e-10, 400, 1.83473e+19, 29705.7, 3.0585e+18, 1.52833e+18, 179947, 91827.6, 3204.52, 8924.45
3.7e-10, 400, 1.83473e+19, 30630.9, 3.0585e+18, 1.52833e+18, 188427, 96108, 3422.28, 9339.25
3.8e-10, 400, 1.83473e+19, 31585.4, 3.0585e+18, 1.52833e+18, 197174, 100522, 3649.75, 9766.99
3.9e-10, 400, 1.83473e+19, 32570.1, 3.0585e+18, 1.52833e+18, 206198, 105075, 3887.25, 10208.1
4e-10, 400, 1.83473e+19, 33585.8, 3.0585e+18, 1.52833e+18, 215507, 109770, 4135.05, 10662.9
4.1e-10, 400, 1.83473e+19, 34633.7, 3.0585e+18, 1.52833e+18, 225110, 114613, 4393.49, 11132
4.2e-10, 400, 1.83473e+19, 35714.6, 3.0585e+18, 1.52833e+18, 235016, 119607, 4662.86, 11615.7
4.3e-10, 400, 1.83473e+19, 36829.7, 3.0585e+18, 1.52833e+18, 245235, 124757, 4943.51, 12114.5
4.4e-10, 400, 1.83473e+19, 37980.1, 3.0585e+18, 1.52833e+18, 255776, 130069, 5235.77, 12628.9
4.5e-10, 400, 1.83473e+19, 39166.7, 3.0585e+18, 1.52833e+18, 266650, 135548, 5539.99, 13159.5
4.6e-10, 400, 1.83473e+19, 40390.8, 3.0585e+18, 1.52833e+18, 277867, 141198, 5856.53, 13706.6
4.7e-10, 400, 1.83473e+19, 41653.6, 3.0585e+18, 1.52833e+18, 289438, 147026, 6185.76, 14270.8
4.8e-10, 400, 1.83473e+19, 42956.2, 3.0585e+18, 1.52833e+18, 301374, 153036, 6528.07, 14852.6
4.9e-10, 400, 1.83473e+19, 44299.9, 3.0585e+18, 1.52833e+18, 313687, 159235, 6883.85, 15452.7
5e-10, 400, 1.83473e+19, 45686.1, 3.0585e+18, 1.52833e+18, 326389, 165629, 7253.51, 16071.6
5.1e-10, 400, 1.83473e+19, 47116, 3.0585e+18, 1.52833e+18, 339491, 172223, 7637.48, 16709.9
5.2e-10, 400, 1.83473e+19, 48591.1, 3.0585e+18, 1.52833e+18, 353006, 179024, 8036.19, 17368.1
5.3e-10, 400, 1.83473e+19, 50112.7, 3.0585e+18, 1.52833e+18, 366948, 186039, 8450.08, 18047
5.4e-10, 400, 1.83473e+19, 51682.3, 3.0585e+18, 1.52833e+18, 381329, 193273, 8879.63, 18747.2
5.5e-10, 400, 1.83473e+19, 53301.5, 3.0585e+18, 1.52833e+18, 396164, 200735, 9325.3, 19469.3
5.6e-10, 400, 1.83473e+19, 54971.7, 3.0585e+18, 1.52833e+18, 411467, 208432, 9787.6, 20214
5.7e-10, 400, 1.83473e+19, 56694.7, 3.0585e+18, 1.52833e+18, 427253, 216370, 10267, 20982.1
5.8e-10, 400, 1.83473e+19, 58472, 3.0585e+18, 1.52833e+18, 443536, 224558, 10764.1, 21774.3
5.9e-10, 400, 1.83473e+19, 60305.4, 3.0585e+18, 1.52833e+18, 460333, 233002, 11279.4, 22591.4
6e-10, 400, 1.83473e+19, 62196.6, 3.0585e+18, 1.52833e+18, 477660, 241712, 11813.4, 23434.1
6.1e-10, 400, 1.83473e+19, 64147.5, 3.0585e+18, 1.52833e+18, 495533, 250696, 12366.8, 24303.2
6.2e-10, 400, 1.83473e+19, 66159.9, 3.0585e+18, 1.52833e+18, 513970, 259962, 12940.1, 25199.6
6.3e-10, 400, 1.83473e+19, 68235.8, 3.0585e+18, 1.52833e+18, 532988, 269520, 13533.9, 26124.1
6.4e-10, 400, 1.83473e+19, 70377.2, 3.0585e+18, 1.52833e+18, 552606, 279377, 14148.9, 27077.7
6.5e-10, 400, 1.83473e+19, 72586.2, 3.0585e+18, 1.52833e+18, 572843, 289545, 14785.7, 28061.2
6.6e-10, 400, 1.83473e+19, 74864.8, 3.0585e+18, 1.52833e+18, 593717, 300032, 15445, 29075.6
6.7e-10, 400, 1.83473e+19, 77215.3, 3.0585e+18, 1.52833e+18, 615250, 310850, 16127.5, 30121.9
6.8e-10, 400, 1.83473e+19, 79639.9, 3.0585e+18, 1.52833e+18, 637462, 322007, 16833.9, 31201
6.9e-10, 400, 1.83473e+19, 82140.9, 3.0585e+18, 1.52833e+18, 660374, 333515, 17565, 32314
7e-10, 400, 1.83473e+19, 84720.9, 3.0585e+18, 1.52833e+18, 684009, 345385, 18321.4, 33462.1
7.1e-10, 400, 1.83473e+19, 87382.2, 3.0585e+18, 1.52833e+18, 708388, 357628, 19104.1, 34646.1
7.2e-10, 400, 1.83473e+19, 90127.4, 3.0585e+18, 1.52833e+18, 733536, 370256, 19913.8, 35867.4
7.3e-10, 400, 1.83473e+19, 92959.2, 3.0585e+18, 1.52833e+18, 759478, 383282, 20751.3, 37127.1
7.4e-10, 400, 1.83473e+19, 95880.3, 3.0585e+18, 1.52833e+18, 786237, 396717, 21617.5, 38426.3
7.5e-10, 400, 1.83473e+19, 98893.5, 3.0585e+18, 1.52833e+18, 813839, 410575, 22513.3, 39766.5
7.6e-10, 400, 1.83473e+19, 102002, 3.0585e+18, 1.52833e+18, 842312, 424869, 23439.6, 41148.7
7.7e-10, 400, 1.83473e+19, 105208, 3.0585e+18, 1.52833e+18, 871682, 439613, 24397.4, 42574.4
7.8e-10, 400, 1.83473e+19, 108515, 3.0585e+18, 1.52833e+18, 901979, 454821, 25387.6, 44044.9
7.9e-10, 400, 1.83473e+19, 111927, 3.0585e+18, 1.52833e+18, 933230, 470507, 26411.3, 45561.7
8e-10, 400, 1.83473e+19, 115446, 3.0585e+18, 1.52833e+18, 965467, 486687, 27469.5, 47126.2
8.1e-10, 400, 1.83473e+19, 119076, 3.0585e+18, 1.52833e+18, 998720, 503376, 28563.2, 48739.9
8.2e-10, 400, 1.83473e+19, 122821, 3.0585e+18, 1.52833e+18, 1.03302e+06, 520590, 29693.6, 50404.3
8.3e-10, 400, 1.83473e+19, 126683, 3.0585e+18, 1.52833e+18, 1.0684e+06, 538346, 30861.8, 52121.1
8.4e-10, 400, 1.83473e+19, 130667, 3.0585e+18, 1.52833e+18, 1.1049e+06, 556661, 32069, 53891.9
8.5e-10, 400, 1.83473e+19, 134777, 3.0585e+18, 1.52833e+18, 1.14255e+06, 575552, 33316.5, 55718.4
8.6e-10, 400, 1.83473e+19, 139017, 3.0585e+18, 1.52833e+18, 1.18138e+06, 595038, 34605.3, 57602.4
8.7e-10, 400, 1.83473e+19, 143390, 3.0585e+18, 1.52833e+18, 1.22144e+06, 615137, 35937, 59545.6
8.8e-10, 400, 1.83473e+19, 147901, 3.0585e+18, 1.52833e+18, 1.26276e+06, 635869, 37312.7, 61550
8.9e-10, 400, 1.83473e+19, 152555, 3.0585e+18, 1.52833e+18, 1.30539e+06, 657254, 38733.9, 63617.5
9e-10, 400, 1.83473e+19, 157354, 3.0585e+18, 1.52833e+18, 1.34936e+06, 679312, 40202, 65750.1
9.1e-10, 400, 1.83473e+19, 162306, 3.0585e+18, 1.52833e+18, 1.39471e+06, 702064, 41718.4, 67949.7
9.2e-10, 400, 1.83473e+19, 167413, 3.0585e+18, 1.52833e+18, 1.44149e+06, 725533, 43284.7, 70218.6
9.3e-10, 400, 1.83473e+19, 172681, 3.0585e+18, 1.52833e+18, 1.48975e+06, 749741, 44902.4, 72558.9
9.4e-10, 400, 1.83473e+19, 178116, 3.0585e+18, 1.52833e+18, 1.53953e+06, 774710, 46573.1, 74972.8
9.5e-10, 400, 1.83473e+19, 183721, 3.0585e+18, 1.52833e+18, 1.59088e+06, 800466, 48298.5, 77462.8
9.6e-10, 400, 1.83473e+19, 189504, 3.0585e+18, 1.52833e+18, 1.64384e+06, 827034, 50080.4, 80031.1
9.7e-10, 400, 1.83473e+19, 195468, 3.0585e+18, 1.52833e+18, 1.69848e+06, 854437, 51920.3, 82680.2
9.8e-10, 400, 1.83473e+19, 201621, 3.0585e+18, 1.52833e+18, 1.75484e+06, 882704, 53820.3, 85412.8
9.9e-10, 400, 1.83473e+19, 207968, 3.0585e+18, 1.52833e+18, 1.81297e+06, 911860, 55782.1, 88231.4
1e-09, 400, 1.83473e+19, 214514, 3.0585e+18, 1.52833e+18, 1.87294e+06, 941935, 57807.8, 91138.7
1.01e-09, 400, 1.83473e+19, 221267, 3.0585e+18, 1.52833e+18, 1.9348e+06, 972957, 59899.2, 94137.6
1.02e-09, 400, 1.83473e+19, 228233, 3.0585e+18, 1.52833e+18, 1.9986e+06, 1.00496e+06, 62058.5, 97230.9
1.03e-09, 400, 1.83473e+19, 235419, 3.0585e+18, 1.52833e+18, 2.06442e+06, 1.03796e+06, 64287.7, 100422
1.04e-09, 400, 1.83473e+19, 242831, 3.0585e+18, 1.52833e+18, 2.13231e+06, 1.07201e+06, 66589.2, 103713
1.05e-09, 400, 1.83473e+19, 250476, 3.0585e+18, 1.52833e+18, 2.20234e+06, 1.10713e+06, 68965.1, 107107
1.06e-09, 400, 1.83473e+19, 258362, 3.0585e+18, 1.52833e+18, 2.27458e+06, 1.14335e+06, 71417.7, 110609
1.07e-09, 400, 1.83473e+19, 266498, 3.0585e+18, 1.52833e+18, 2.34909e+06, 1.18072e+06, 73949.6, 114221
1.08e-09, 400, 1.83473e+19, 274889, 3.0585e+18, 1.52833e+18, 2.42596e+06, 1.21926e+06, 76563.1, 117947
1.09e-09, 400, 1.83473e+19, 283545, 3.0585e+18, 1.52833e+18, 2.50524e+06, 1.25902e+06, 79260.8, 121790
1.1e-09, 400, 1.83473e+19, 292474, 3.0585e+18, 1.52833e+18, 2.58703e+06, 1.30003e+06, 82045.4, 125754
1.11e-09, 400, 1.83473e+19, 301684, 3.0585e+18, 1.52833e+18, 2.67139e+06, 1.34233e+06, 84919.7, 129843
1.12e-09, 400, 1.83473e+19, 311184, 3.0585e+18, 1.52833e+18, 2.75841e+06, 1.38596e+06, 87886.3, 134060
1.13e-09, 400, 1.83473e+19, 320984, 3.0585e+18, 1.52833e+18, 2.84818e+06, 1.43097e+06, 90948.2, 138411
1.14e-09, 400, 1.83473e+19, 331093, 3.0585e+18, 1.52833e+18, 2.94077e+06, 1.47739e+06, 94108.5, 142898
1.15e-09, 400, 1.83473e+19, 341520, 3.0585e+18, 1.52833e+18, 3.03628e+06, 1.52528e+06, 97370.1, 147527
1.16e-09, 400, 1.83473e+19, 352276, 3.0585e+18, 1.52833e+18, 3.1348e+06, 1.57467e+06, 100736, 152302
1.17e-09, 400, 1.83473e+19, 363371, 3.0585e+18, 1.52833e+18, 3.23643e+06, 1.62563e+06, 104210, 157227
1.18e-09, 400, 1.83473e+19, 374816, 3.0585e+18, 1.52833e+18, 3.34126e+06, 1.67818e+06, 107796, 162307
1.19e-09, 400, 1.83473e+19, 386621, 3.0585e+18, 1.52833e+18, 3.44939e+06, 1.7324e+06, 111496, 167547
1.2e-09, 400, 1.83473e+19, 398798, 3.0585e+18, 1.52833e+18, 3.56093e+06, 1.78832e+06, 115314, 172953
1.21e-09, 400, 1.83473e+19, 411359, 3.0585e+18, 1.52833e+18, 3.67598e+06, 1.846e+06, 119255, 178528
1.22e-09, 400, 1.83473e+19, 424316, 3.0585e+18, 1.52833e+18, 3.79466e+06, 1.9055e+06, 123321, 184279
1.23e-09, 400, 1.83473e+19, 437682, 3.0585e+18, 1.52833e+18, 3.91709e+06, 1.96687e+06, 127517, 190211
1.24e-09, 400, 1.83473e+19, 451468, 3.0585e+18, 1.52833e+18, 4.04337e+06, 2.03018e+06, 131847, 196331
1.25e-09, 400, 1.83473e+19, 465689, 3.0585e+18, 1.52833e+18, 4.17363e+06, 2.09548e+06, 136316, 202643
1.26e-09, 400, 1.83473e+19, 480359, 3.0585e+18, 1.52833e+18, 4.30799e+06, 2.16284e+06, 140927, 209153
1.27e-09, 400, 1.83473e+19, 495490, 3.0585e+18, 1.52833e+18, 4.44659e+06, 2.23232e+06, 145684, 215869
1.28e-09, 400, 1.83473e+19, 511099, 3.0585e+18, 1.52833e+18, 4.58956e+06, 2.30399e+06, 150594, 222797
1.29e-09, 400, 1.83473e+19, 527199, 3.0585e+18, 1.52833e+18, 4.73703e+06, 2.37792e+06, 155660, 229942
1.3e-09, 400, 1.83473e+19, 543807, 3.0585e+18, 1.52833e+18, 4.88915e+06, 2.45417e+06, 160887, 237313
1.31e-09, 400, 1.83473e+19, 560938, 3.0585e+18, 1.52833e+18, 5.04606e+06, 2.53283e+06, 166280, 244916
1.32e-09, 400, 1.83473e+19, 578609, 3.0585e+18, 1.52833e+18, 5.20792e+06, 2.61397e+06, 171845, 252759
1.33e-09, 400, 1.83473e+19, 596837, 3.0585e+18, 1.52833e+18, 5.37488e+06, 2.69767e+06, 177587, 260848
1.34e-09, 400, 1.83473e+19, 615639, 3.0585e+18, 1.52833e+18, 5.5471e+06, 2.784e+06, 183511, 269193
1.35e-09, 400, 1.83473e+19, 635034, 3.0585e+18, 1.52833e+18, 5.72475e+06, 2.87305e+06, 189624, 277800
1.36e-09, 400, 1.83473e+19, 655040, 3.0585e+18, 1.52833e+18, 5.908e+06, 2.96491e+06, 195931, 286678
1.37e-09, 400, 1.83473e+19, 675677, 3.0585e+18, 1.52833e+18, 6.09702e+06, 3.05966e+06, 202439, 295837
1.38e-09, 400, 1.83473e+19, 696964, 3.0585e+18, 1.52833e+18, 6.292e+06, 3.15739e+06, 209153, 305283
1.39e-09, 400, 1.83473e+19, 718922, 3.0585e+18, 1.52833e+18, 6.49312e+06, 3.25821e+06, 216080, 315028
1.4e-09, 400, 1.83473e+19, 741572, 3.0585e+18, 1.52833e+18, 6.70058e+06, 3.3622e+06, 223227, 325079
1.41e-09, 400, 1.83473e+19, 764935, 3.0585e+18, 1.52833e+18, 6.91458e+06, 3.46947e+06, 230601, 335447
1.42e-09, 400, 1.83473e+19, 789035, 3.0585e+18, 1.52833e+18, 7.13533e+06, 3.58012e+06, 238208, 346142
1.43e-09, 400, 1.83473e+19, 813894, 3.0585e+18, 1.52833e+18, 7.36303e+06, 3.69426e+06, 246057, 357174
1.44e-09, 400, 1.83473e+19, 839537, 3.0585e+18, 1.52833e+18, 7.5979e+06, 3.81199e+06, 254155, 368553
1.45e-09, 400, 1.83473e+19, 865988, 3.0585e+18, 1.52833e+18, 7.84018e+06, 3.93343e+06, 262509, 380291
1.46e-09, 400, 1.83473e+19, 893273, 3.0585e+18, 1.52833e+18, 8.09009e+06, 4.0587e+06, 271128, 392399
1.47e-09, 400, 1.83473e+19, 921417, 3.0585e+18, 1.52833e+18, 8.34788e+06, 4.18791e+06, 280021, 404888
1.48e-09, 400, 1.83473e+19, 950448, 3.0585e+18, 1.52833e+18, 8.61379e+06, 4.3212e+06, 289195, 417770
1.49e-09, 400, 1.83473e+19, 980395, 3.0585e+18, 1.52833e+18, 8.88808e+06, 4.45868e+06, 298659, 431059
1.5e-09, 400, 1.83473e+19, 1.01128e+06, 3.0585e+18, 1.52833e+18, 9.17102e+06, 4.6005e+06, 308423, 444766
1.51e-09, 400, 1.83473e+19, 1.04315e+06, 3.0585e+18, 1.52833e+18, 9.46287e+06, 4.74679e+06, 318497, 458905
1.52e-09, 400, 1.83473e+19, 1.07602e+06, 3.0585e+18, 1.52833e+18, 9.76392e+06, 4.89768e+06, 328889, 473490
1.53e-09, 400, 1.83473e+19, 1.10992e+06, 3.0585e+18, 1.52833e+18, 1.00745e+07, 5.05333e+06, 339610, 488534
1.54e-09, 400, 1.83473e+19, 1.14489e+06, 3.0585e+18, 1.52833e+18, 1.03948e+07, 5.21389e+06, 350671, 504053
1.55e-09, 400, 1.83473e+19, 1.18096e+06, 3.0585e+18, 1.52833e+18, 1.07252e+07, 5.3795e+06, 362081, 520060
1.56e-09, 400, 1.83473e+19, 1.21817e+06, 3.0585e+18, 1.52833e+18, 1.1066e+07, 5.55034e+06, 373853, 536571
1.57e-09, 400, 1.83473e+19, 1.25656e+06, 3.0585e+18, 1.52833e+18, 1.14176e+07, 5.72655e+06, 385996, 553603
1.58e-09, 400, 1.83473e+19, 1.29615e+06, 3.0585e+18, 1.52833e+18, 1.17802e+07, 5.90832e+06, 398524, 571172
1.59e-09, 400, 1.83473e+19, 1.33699e+06, 3.0585e+18, 1.52833e+18, 1.21543e+07, 6.09582e+06, 411448, 589294
1.6e-09, 400, 1.83473e+19, 1.37912e+06, 3.0585e+18, 1.52833e+18, 1.25402e+07, 6.28922e+06, 424781, 607987
1.61e-09, 400, 1.83473e+19, 1.42257e+06, 3.0585e+18, 1.52833e+18, 1.29382e+07, 6.48872e+06, 438535, 627269
1.62e-09, 400, 1.83473e+19, 1.4674e+06, 3.0585e+18, 1.52833e+18, 1.33488e+07, 6.6945e+06, 452724, 647159
1.63e-09, 400, 1.83473e+19, 1.51364e+06, 3.0585e+18, 1.52833e+18, 1.37723e+07, 6.90677e+06, 467361, 667675
1.64e-09, 400, 1.83473e+19, 1.56133e+06, 3.0585e+18, 1.52833e+18, 1.42091e+07, 7.12573e+06, 482461, 688838
1.65e-09, 400, 1.83473e+19, 1.61053e+06, 3.0585e+18, 1.52833e+18, 1.46598e+07, 7.35159e+06, 498039, 710668
1.66e-09, 400, 1.83473e+19, 1.66127e+06, 3.0585e+18, 1.52833e+18, 1.51246e+07, 7.58456e+06, 514108, 733186
1.67e-09, 400, 1.83473e+19, 1.71362e+06, 3.0585e+18, 1.52833e+18, 1.5604e+07, 7.82488e+06, 530685, 756413
1.68e-09, 400, 1.83473e+19, 1.76762e+06, 3.0585e+18, 1.52833e+18, 1.60986e+07, 8.07277e+06, 547786, 780372
1.69e-09, 400, 1.83473e+19, 1.82332e+06, 3.0585e+18, 1.52833e+18, 1.66088e+07, 8.32847e+06, 565427, 805086
1.7e-09, 400, 1.83473e+19, 1.88077e+06, 3.0585e+18, 1.52833e+18, 1.7135e+07, 8.59222e+06, 583625, 830579
1.71e-09, 400, 1.83473e+19, 1.94003e+06, 3.0585e+18, 1.52833e+18, 1.76779e+07, 8.86429e+06, 602398, 856875
1.72e-09, 400, 1.83473e+19, 2.00116e+06, 3.0585e+18, 1.52833e+18, 1.82378e+07, 9.14493e+06, 621764, 883999
1.73e-09, 400, 1.83473e+19, 2.06422e+06, 3.0585e+18, 1.52833e+18, 1.88154e+07, 9.43442e+06, 641741, 911979
1.74e-09, 400, 1.83473e+19, 2.12927e+06, 3.0585e+18, 1.52833e+18, 1.94111e+07, 9.73302e+06, 662349, 940840
1.75e-09, 400, 1.83473e+19, 2.19636e+06, 3.0585e+18, 1.52833e+18, 2.00257e+07, 1.0041e+07, 683608, 970610
1.76e-09, 400, 1.83473e+19, 2.26557e+06, 3.0585e+18, 1.52833e+18, 2.06596e+07, 1.03588e+07, 705538, 1.00132e+06
1.77e-09, 400, 1.83473e+19, 2.33696e+06, 3.0585e+18, 1.52833e+18, 2.13135e+07, 1.06865e+07, 728160, 1.033e+06
1.78e-09, 400, 1.83473e+19, 2.4106e+06, 3.0585e+18, 1.52833e+18, 2.1988e+07, 1.10246e+07, 751497, 1.06567e+06
1.79e-09, 400, 1.83473e+19, 2.48656e+06, 3.0585e+18, 1.52833e+18, 2.26837e+07, 1.13733e+07, 775570, 1.09937e+06
1.8e-09, 400, 1.83473e+19, 2.56491e+06, 3.0585e+18, 1.52833e+18, 2.34014e+07, 1.1733e+07, 800403, 1.13414e+06
1.81e-09, 400, 1.83473e+19, 2.64573e+06, 3.0585e+18, 1.52833e+18, 2.41417e+07, 1.2104e+07, 826019, 1.17e+06
1.82e-09, 400, 1.83473e+19, 2.7291e+06, 3.0585e+18, 1.52833e+18, 2.49053e+07, 1.24867e+07, 852444, 1.20699e+06
1.83e-09, 400, 1.83473e+19, 2.8151e+06, 3.0585e+18, 1.52833e+18, 2.5693e+07, 1.28815e+07, 879703, 1.24515e+06
1.84e-09, 400, 1.83473e+19, 2.90381e+06, 3.0585e+18, 1.52833e+18, 2.65055e+07, 1.32888e+07, 907822, 1.28451e+06
1.85e-09, 400, 1.83473e+19, 2.99531e+06, 3.0585e+18, 1.52833e+18, 2.73437e+07, 1.37088e+07, 936829, 1.32511e+06
1.86e-09, 400, 1.83473e+19, 3.08969e+06, 3.0585e+18, 1.52833e+18, 2.82082e+07, 1.41421e+07, 966750, 1.36699e+06
1.87e-09, 400, 1.83473e+19, 3.18705e+06, 3.0585e+18, 1.52833e+18, 2.90999e+07, 1.45891e+07, 997616, 1.41019e+06
1.88e-09, 400, 1.83473e+19, 3.28748e+06, 3.0585e+18, 1.52833e+18, 3.00198e+07, 1.50501e+07, 1.02946e+06, 1.45475e+06
1.89e-09, 400, 1.83473e+19, 3.39107e+06, 3.0585e+18, 1.52833e+18, 3.09687e+07, 1.55257e+07, 1.0623e+06, 1.50071e+06
1.9e-09, 400, 1.83473e+19, 3.49793e+06, 3.0585e+18, 1.52833e+18, 3.19474e+07, 1.60162e+07, 1.09618e+06, 1.54813e+06
1.91e-09, 400, 1.83473e+19, 3.60815e+06, 3.0585e+18, 1.52833e+18, 3.2957e+07, 1.65222e+07, 1.13113e+06, 1.59703e+06
1.92e-09, 400, 1.83473e+19, 3.72185e+06, 3.0585e+18, 1.52833e+18, 3.39985e+07, 1.70442e+07, 1.16718e+06, 1.64748e+06
1.93e-09, 400, 1.83473e+19, 3.83912e+06, 3.0585e+18, 1.52833e+18, 3.50727e+07, 1.75826e+07, 1.20437e+06, 1.69952e+06
1.94e-09, 400, 1.83473e+19, 3.9601e+06, 3.0585e+18, 1.52833e+18, 3.61808e+07, 1.81379e+07, 1.24273e+06, 1.7532e+06
1.95e-09, 400, 1.83473e+19, 4.08489e+06, 3.0585e+18, 1.52833e+18, 3.73238e+07, 1.87108e+07, 1.2823e+06, 1.80856e+06
1.96e-09, 400, 1.83473e+19, 4.2136e+06, 3.0585e+18, 1.52833e+18, 3.85028e+07, 1.93017e+07, 1.32312e+06, 1.86568e+06
1.97e-09, 400, 1.83473e+19, 4.34638e+06, 3.0585e+18, 1.52833e+18, 3.9719e+07, 1.99113e+07, 1.36523e+06, 1.92459e+06
1.98e-09, 400, 1.83473e+19, 4.48334e+06, 3.0585e+18, 1.52833e+18, 4.09735e+07, 2.054e+07, 1.40866e+06, 1.98536e+06
1.99e-09, 400, 1.83473e+19, 4.62461e+06, 3.0585e+18, 1.52833e+18, 4.22675e+07, 2.11886e+07, 1.45347e+06, 2.04804e+06
2e-09, 400, 1.83473e+19, 4.77033e+06, 3.0585e+18, 1.52833e+18, 4.36023e+07, 2.18576e+07, 1.49969e+06, 2.1127e+06
2.01e-09, 400, 1.83473e+19, 4.92065e+06, 3.0585e+18, 1.52833e+18, 4.49792e+07, 2.25476e+07, 1.54736e+06, 2.1794e+06
2.02e-09, 400, 1.83473e+19, 5.0757e+06, 3.0585e+18, 1.52833e+18, 4.63994e+07, 2.32595e+07, 1.59654e+06, 2.2482e+06
2.03e-09, 400, 1.83473e+19, 5.23564e+06, 3.0585e+18, 1.52833e+18, 4.78644e+07, 2.39937e+07, 1.64727e+06, 2.31917e+06
2.04e-09, 400, 1.83473e+19, 5.40062e+06, 3.0585e+18, 1.52833e+18, 4.93756e+07, 2.47511e+07, 1.6996e+06, 2.39237e+06
2.05e-09, 400, 1.83473e+19, 5.57079e+06, 3.0585e+18, 1.52833e+18, 5.09344e+07, 2.55324e+07, 1.75358e+06, 2.46788e+06
